ID	LABEL	Parent	IAO:0000115	IAO:0000119	IAO:0000117	IAO:0000118	obo:T4FS_0000564	obo:T4FS_0000565	oboInOwl:created_by	oboInOwl:creation_date	rdfs:comment	owl:deprecated	obo:IAO_0000233
obo:T4FS_0000330	data residency	data stewardship activity	Physical or geographic location of an organisation’s data or information. Data residency also refers to the legal or regulatory requirements imposed on data based on the country or region in which it resides. Cloud computing, which allows organisations to deliver hosted services over the Internet, can create data residency concerns.	RDMT. https://terms.codata.org/rdmt/data-residency	https://orcid.org/0000-0003-2687-1982|https://orcid.org/0000-0002-5214-4466								
obo:T4FS_0000324	data retention policy	data stewardship technical concept	Established protocol of an organisation for retaining information for operational or regulatory compliance needs. The objectives of a data retention policy are to keep important information for future use or reference, to organise information so it can be searched and accessed at a later date, and to dispose of information that is no longer needed. A data retention policy must consider both the value of data over time, and regulations to which the data may be subject.	RDMT. https://terms.codata.org/rdmt/data-retention-policy	https://orcid.org/0000-0003-2687-1982|https://orcid.org/0000-0002-5214-4466								
obo:T4FS_0000406	data review	data analysis	Activity through which the correctness conditions of the data are verified. It also includes the specification of the type of the error or condition not met, and the qualification of the data and its division into “error-free” or “erroneous” data. Data review consists of both error detection and data analysis, and can be carried out in manual or automated mode.	RDMT. https://terms.codata.org/rdmt/data-review	https://orcid.org/0000-0002-7702-4495|https://orcid.org/0000-0003-2687-1982|https://orcid.org/0000-0002-5214-4466								
obo:T4FS_0000522	data scaling	data analysis	Techniques used to deal with parameters having different units and scales.	RDMT. https://terms.codata.org/rdmt/data-scaling	https://orcid.org/0000-0002-7702-4495|https://orcid.org/0000-0003-2687-1982|https://orcid.org/0000-0002-5214-4466	Data rescaling							
obo:TF4S_0000566	data scientist	scientist			https://orcid.org/0000-0002-7702-4495						AL 15.3.22: Added for FAIR Cookbook integration.		
obo:T4FS_0000074	data selection	data acquisition	Process that creates a new dataset from an original source.	RDMT. https://terms.codata.org/rdmt/data-selection	https://orcid.org/0000-0002-7702-4495|https://orcid.org/0000-0003-2687-1982|https://orcid.org/0000-0002-5214-4466								
obo:T4FS_0000482	data sharing	exposing data	Practice of making data available for checking, reproducing or reusing. The mechanisms available for achieving this are: making data available on request, as supplementary information to journal articles, or as published datasets in data repositories.	RDMT. https://terms.codata.org/rdmt/data-sharing	https://orcid.org/0000-0002-7702-4495|https://orcid.org/0000-0003-2687-1982|https://orcid.org/0000-0002-5214-4466	Data dissemination|Data posting							
obo:T4FS_0000057	data splitting	information security	Protecting sensitive data from unauthorised access by encrypting the data and storing different portions of a file on different servers. An unauthorised person would need to know the locations of the servers containing the parts, be able to get access to each server, know what data to combine, and how to decrypt it. Data splitting can be made even more effective by periodically retrieving and recombining the parts, and then splitting the data in a different way among different servers, and using a different encryption key.	RDMT. https://terms.codata.org/rdmt/data-splitting	https://orcid.org/0000-0002-7702-4495|https://orcid.org/0000-0003-2687-1982|https://orcid.org/0000-0002-5214-4466								
obo:T4FS_0000263	data standardization	data stewardship activity	Conversion of multiple datasets to a single common format and structure.	RDMT. https://terms.codata.org/rdmt/data-standardisation	https://orcid.org/0000-0003-2687-1982|https://orcid.org/0000-0002-5214-4466								https://github.com/terms4fairskills/FAIRterminology/issues/32
obo:T4FS_0000178	data steward	'has/wants competency in' some 'fair stewardship training'|'has/wants competency in' some 'research data management'|'has/wants competency in' some 'understanding persistent identifiers'|role	Data steward is an umbrella term for numerous support roles that involve the creation, management and usage of research data. A data steward facilitates the quality, integrity and access to (meta)data in a manner that is consistent with the appropriate laws and institutional policies, ensuring professional treatment of data throughout all stages of the research project.	The Turing Way. https://book.the-turing-way.org/collaboration/research-infrastructure-roles/data-steward.html	https://orcid.org/0000-0003-2687-1982|https://orcid.org/0000-0002-5214-4466				https://orcid.org/0000-0003-2687-1982				
obo:T4FS_0000012	data stewardship activity	'process'|'requires/improves personal attribute' some 'data stewardship soft skill'	A specific deed, action, function or sphere of action in relation with the role of data stewardship		https://orcid.org/0000-0002-7702-4495|https://orcid.org/0000-0003-2687-1982|Yann Le Franc		Set of actions carried out during data stewardship processes						
obo:T4FS_0000446	data stewardship guideline	'information content entity'			Yann Le Franc				ylefranc	2021-03-17T16:34:14.943152Z			
obo:T4FS_0000548	data stewardship soft skill	'realizable entity'	The personal attributes necessary to perform a task.		https://orcid.org/0000-0003-2687-1982		Aptitude is the innate trait or talent that a person brings to a task or situation. It is the quality of being able to do something. An aptitude is not something that can be learned or developed unless it is there to begin with.	Laura Molloy, Celia van Gelder:https://docs.google.com/presentation/d/12oNBFix39ZtsLAR4tkqESBXxMU5rVg3cCKoEDG2oK-M/edit#slide=id.p5					
obo:T4FS_0000372	data stewardship technical concept	'information content entity'|'contributes to the implementation of' some 'data stewardship guideline'			https://orcid.org/0000-0002-7702-4495|https://orcid.org/0000-0003-2687-1982								
obo:T4FS_0000215	data store	data stewardship technical concept	Repository for persistently storing collections of data, such as a database, a file system or a directory. The data stored can be of any type that can be rendered in digital format and placed in electronic media.	RDMT. https://terms.codata.org/rdmt/data-store	https://orcid.org/0000-0003-2687-1982|https://orcid.org/0000-0002-5214-4466								
obo:T4FS_0000201	data stream	data stewardship technical concept	Sequence of digitally encoded, coherent signals used to send or receive a representation of information content as transmitted.	RDMT. https://terms.codata.org/rdmt/data-stream	https://orcid.org/0000-0003-2687-1982|https://orcid.org/0000-0002-5214-4466								
obo:T4FS_0000154	data structure	data stewardship technical concept	Specialised format for organising and storing data. General data structure types include the array, the file, the record, the table, the tree, and so on. Any data structure is designed to organise data to suit a specific purpose so that it can be accessed and worked with in appropriate ways. In computer programming, a data structure may be selected or designed to store data for the purpose of working on it with various algorithms.	RDMT. https://terms.codata.org/rdmt/data-structure	https://orcid.org/0000-0003-2687-1982|https://orcid.org/0000-0002-5214-4466	Data format							
obo:T4FS_0000428	data structure continuum	data stewardship technical concept	Continuum of data structure that includes unstructured data, semi-structured data, and structured data.	RDMT. https://terms.codata.org/rdmt/data-structure-continuum	https://orcid.org/0000-0003-2687-1982|https://orcid.org/0000-0002-5214-4466								
obo:T4FS_0000166	data table attribute (field)	data stewardship technical concept	Field or column in a database table. It is an abbreviation for ‘physical data attribute’ which is a single data element related to a data object, such as a table in a database. The database schema associates one or more attributes with each database entity (i.e. table).	RDMT. https://terms.codata.org/rdmt/data-table-attribute-field	https://orcid.org/0000-0003-2687-1982|https://orcid.org/0000-0002-5214-4466								
obo:T4FS_0000342	data traceability	data stewardship technical concept	Data traceability follows the lifecycle of data to track all access and changes to the data. It helps demonstrate transparency, compliance and adherence to regulations. Data traceability, along with data compliance, can be considered part of a data audit process. Data traceability is fundamental to reproducible research.	RDMT. https://terms.codata.org/rdmt/data-traceability	https://orcid.org/0000-0003-2687-1982|https://orcid.org/0000-0002-5214-4466								
obo:T4FS_0000069	data transformation	data analysis	Manipulation of raw data to produce a single output.	RDMT. https://terms.codata.org/rdmt/data-transformation	https://orcid.org/0000-0002-7702-4495|https://orcid.org/0000-0003-2687-1982|https://orcid.org/0000-0002-5214-4466								
obo:T4FS_0000394	data type registry	data store	Registry for data types supporting their standardisation, uniqueness and discoverability. Data types range from complex digital objects to simple categories that occur in digital objects. An additional functionality may be to link data types to executable data processing functions.	RDMT. https://terms.codata.org/rdmt/data-type-registry	https://orcid.org/0000-0003-2687-1982|https://orcid.org/0000-0002-5214-4466								
obo:T4FS_0000493	data upload database	data store	Collection of interrelated data often with controlled redundancy, organised according to a scheme to serve one or more applications; the data are stored so that they can be used by several programs without concern for data structures or organisation.	RDMT. https://terms.codata.org/rdmt/data-upload-database	https://orcid.org/0000-0003-2687-1982|https://orcid.org/0000-0002-5214-4466								
obo:T4FS_0000238	data validation	curation	Checks that data are valid, sensible, reasonable, clean, usable, and secure before they are processed. Provides well-defined guarantees for fitness, accuracy, and consistency for any of various kinds of user input into an application or automated system. Failures or omissions in data validation can lead to data corruption, security vulnerability. Improperly validated data can cause computer code processing the data to crash, generate error messages, behave in an unanticipated manner, or generate incorrect results that may be difficult or impossible to detect.	RDMT. https://terms.codata.org/rdmt/data-validation	https://orcid.org/0000-0003-2687-1982|https://orcid.org/0000-0002-5214-4466								
obo:T4FS_0000054	data warehouse	data store	Central repository for all or significant parts of the data that an organisation’s various business systems collect, containing harmonised, highly-structured, quality data integrated from multiple sources. Data warehousing emphasises the capture of data from diverse sources for useful analysis and access, but does not generally start from the point-of-view of the end user who may need access to specialised data marts. There are two approaches to data warehousing: The top-down approach spins off data marts for specific groups of users after the complete data warehouse has been created. The bottom-up approach builds the data marts first and then combines them into a single, all-encompassing data warehouse.	RDMT. https://terms.codata.org/rdmt/data-warehouse	https://orcid.org/0000-0003-2687-1982|https://orcid.org/0000-0002-5214-4466								
obo:T4FS_0000291	data wrangling	curation	Manually or semi-automatically converting or mapping data from one form into another format that allows for more convenient consumption of the data with the help of semi-automated tools. Gathering and organising disparate data from different sources, often collected by many different investigators. Activities include developing and supporting search tools that utilise standardised metadata, harmonising the coding of data for specific variables, engineering new methods of combining data. with the help of semi-automated tools. The result of data wrangling is repurposed data.	RDMT. https://terms.codata.org/rdmt/data-wrangling	https://orcid.org/0000-0003-2687-1982|https://orcid.org/0000-0002-5214-4466								
obo:T4FS_0000397	database	data store	Collection of data that is organised according to a conceptual structure/model describing the characteristics of these data and the relationships among their corresponding entities, supporting one or more application areas. A database allows its contents to be easily accessed, managed and updated. The type of database used depends on the requirements of the study. A common type is the relational database, where data are related to each other in a systematic manner so that they can be reorganised and accessed in a number of different ways. A database may house one or many datasets.	RDMT. https://terms.codata.org/rdmt/database	https://orcid.org/0000-0003-2687-1982|https://orcid.org/0000-0002-5214-4466								
obo:T4FS_0000151	database administration	data management	Managing the physical aspects of data resources, including database design and integrity, backup and recovery, performance and tuning.	RDMT. https://terms.codata.org/rdmt/database-administration	https://orcid.org/0000-0002-7702-4495|https://orcid.org/0000-0003-2687-1982|https://orcid.org/0000-0002-5214-4466								
obo:T4FS_0000034	database developer	role											
obo:T4FS_0000347	dataset	dataset series	Organised collection of data or objects in a computational format, that are generated or collected by researchers in the course of their investigations, regardless of their form or method, that form the object on which researchers test a hypothesis. This includes the full range of data: raw, unprocessed datasets, proprietary generated and processed data and secondary data obtained from third parties. The presentation of the data in the application is enabled through metadata.	RDMT. https://terms.codata.org/rdmt/dataset	https://orcid.org/0000-0003-2687-1982|https://orcid.org/0000-0002-5214-4466								
obo:T4FS_0000072	dataset series	database	Collection of datasets sharing the same product specification. A dataset series is a type of aggregation or collection with some “logical grouping” such as by a topic (specification) with the (product) unit being a dataset series.	RDMT. https://terms.codata.org/rdmt/dataset-series	https://orcid.org/0000-0003-2687-1982|https://orcid.org/0000-0002-5214-4466								
obo:T4FS_0000024	de facto standard	'contributes to the implementation of' some 'I1. (meta)data use a formal, accessible, shared, and broadly applicable language for knowledge representation'|data stewardship technical concept	A standard that is widely accepted and used, but lacks formal approval by a recognized standards developing organization (e.g., the QWERTY keyboard).	Definition from now-deprecated CASRAI Glossary term: de-facto-standard	https://orcid.org/0000-0003-2687-1982|https://orcid.org/0000-0002-5214-4466								
obo:T4FS_0000501	de-anonymization	information security	Reverse engineering process in which de-identified data are cross-referenced with other data sources to re-identify the personally identifiable information. This could occur if a de-identification process had not been not successfully performed, or had not been undertaken in the first place.	RDMT. https://terms.codata.org/rdmt/de-anonymisation	https://orcid.org/0000-0002-7702-4495|https://orcid.org/0000-0003-2687-1982|https://orcid.org/0000-0002-5214-4466								
obo:T4FS_0000414	de-identification	information security	Techniques designed to make the risk of identifying a particular individual in a dataset negligible, whilst retaining the re-usability of the dataset. The purpose is to protect the privacy of the individual and comply with legislation, whilst enabling data sharing. Methods include removing direct and indirect identifiers such as names, addresses, social insurance numbers, or dates of birth, or using obfuscation methods such as encryption, hashing, generalisation, pseudonymisation, and perturbation.	RDMT. https://terms.codata.org/rdmt/de-identification	https://orcid.org/0000-0002-7702-4495|https://orcid.org/0000-0003-2687-1982|https://orcid.org/0000-0002-5214-4466								
obo:T4FS_0000116	define access policy	information security	Understand the needs and conditions of information access for different stakeholder groups. Identify the responsibility and rights for each stakeholder group on informaiton access. Build up a catalogue of risk profiles. For each risk profile, develope mitigation protocols.		Angus Whyte|Celia van Gelder|Mateusz Kuzak|Yan Wang								
obo:T4FS_0000531	descriptive metadata	metadata	Metadata that describe a dataset or resource in such a way that people can discover and identify it. Contains information that aids with findability such as information (metadata elements) on the creator(s), affiliation(s), title, abstract, keywords, persistent identifier, related publications, etc.	RDMT. https://terms.codata.org/rdmt/descriptive-metadata	https://orcid.org/0000-0002-7702-4495|https://orcid.org/0000-0003-2687-1982|https://orcid.org/0000-0002-5214-4466								https://github.com/terms4fairskills/FAIRterminology/issues/13
obo:T4FS_0000071	design and apply processes for attribution	research integrity, attribution, impact awareness	Iniitate and develop processes for crediting the contributions of researchers and professional groups towards making FAIR outputs		Angus Whyte|Celia van Gelder|Mateusz Kuzak|Yan Wang								
obo:T4FS_0000216	design processes for research integrity	research integrity, attribution, impact awareness	Initiate and develop processes to ensure outputs are made FAIR consistently with research integrity principles, and with ethical oversight.		Angus Whyte|Celia van Gelder|Mateusz Kuzak|Yan Wang								
obo:T4FS_0000285	develop fair and open research strategy	develop open research strategy and vision	Find the people with a good understand of FAIR and open research challenges in your organiation, and create a work agenda.		Angus Whyte|Celia van Gelder|Mateusz Kuzak|Yan Wang								
obo:T4FS_0000006	develop fair and open research vision	develop open research strategy and vision	Include FAIR and open research in the strategic framework for the organization and set objectives and timeframe.		Angus Whyte|Celia van Gelder|Mateusz Kuzak|Yan Wang								
obo:T4FS_0000008	develop open research strategy and vision	strategic/long-term planning	The activity of developing an open research strategy and vision.	PMQ 3.2022	Angus Whyte|Celia van Gelder|Mateusz Kuzak|Yan Wang								
obo:T4FS_0000537	digital archiving (computing)	archiving	In the context of computing, the process of backup and ongoing maintenance as opposed to strategies for long-term digital preservation.	RDMT. https://terms.codata.org/rdmt/digital-archiving-computing	https://orcid.org/0000-0002-7702-4495|https://orcid.org/0000-0003-2687-1982|https://orcid.org/0000-0002-5214-4466								
obo:T4FS_0000511	digital data	data	Data in the form of digital materials.	RDMT. https://terms.codata.org/rdmt/digital-data	https://orcid.org/0000-0002-7702-4495|https://orcid.org/0000-0003-2687-1982|https://orcid.org/0000-0002-5214-4466								
obo:T4FS_0000358	digital infrastructure	data stewardship technical concept	Those layers that sit between base technology (a computer science concern) and discipline-specific science. Value-added systems and services that can be widely shared across scientific domains, both supporting and enabling large increases in multi- and interdisciplinary science while reducing duplication of effort and resources (including hardware, software, personnel, services and organisations).	RDMT. https://terms.codata.org/rdmt/digital-infrastructure	https://orcid.org/0000-0002-7702-4495|https://orcid.org/0000-0003-2687-1982|https://orcid.org/0000-0002-5214-4466								
obo:T4FS_0000114	digital materials	data stewardship technical concept	A broad term encompassing: (a) digital surrogates created as a result of converting analogue materials to digital form (digitisation); (b) born digital for which there has never been and is never intended to be an analogue equivalent; and, (c) digital records.	RDMT. https://terms.codata.org/rdmt/digital-materials	https://orcid.org/0000-0002-7702-4495|https://orcid.org/0000-0003-2687-1982|https://orcid.org/0000-0002-5214-4466								
obo:T4FS_0000113	digital object	data stewardship technical concept	Machine-independent data structure consisting of one or more elements in digital form that can be parsed by different information systems; the structure helps to enable interoperability among diverse information systems. A digital object is composed of a structured sequence of bits/bytes. The bit sequence realising the object can be identified and accessed by a unique and persistent identifier or by use of referencing attributes describing its properties.	RDMT. https://terms.codata.org/rdmt/digital-object	https://orcid.org/0000-0002-7702-4495|https://orcid.org/0000-0003-2687-1982|https://orcid.org/0000-0002-5214-4466	Digital entity							
obo:T4FS_0000434	digital object identifier	'contributes to the implementation of' some 'F1. (meta)data are assigned a globally unique and persistent identifier'|persistent identifier	Type of digital Persistent Identifier (PID) issued by the International DOI Foundation. This permanent digital identifier is associated with an object that permits the object to be referenced reliably even if its location and metadata undergo change over time.	RDMT. https://terms.codata.org/rdmt/digital-object-identifier	https://orcid.org/0000-0002-7702-4495|https://orcid.org/0000-0003-2687-1982|https://orcid.org/0000-0002-5214-4466	DOI							
obo:T4FS_0000318	digital preservation	data stewardship technical concept	Series of managed activities necessary to ensure continued access to digital materials for as long as necessary. All of the actions required to maintain access to digital materials beyond the limits of media failure or technological change. Those materials may be records created during the day-to-day business of an organisation; born-digital materials created for a specific purpose (such as teaching resources); or the products of digitisation projects. This definition specifically excludes the potential use of digital technology to preserve the original artefacts through digitisation.	RDMT. https://terms.codata.org/rdmt/digital-preservation Also drawn from https://www.dpconline.org/digipres/what-is-digipres 	https://orcid.org/0000-0002-7702-4495|https://orcid.org/0000-0003-2687-1982|https://orcid.org/0000-0002-5214-4466								
obo:T4FS_0000310	digital record	data stewardship technical concept	A record created digitally in the day-to-day business of the organisation and assigned formal status by the organisation. Examples include: word processing documents, emails, databases, or intranet web pages.	Definition from now-deprecated CASRAI Glossary term: digital	https://orcid.org/0000-0002-7702-4495|https://orcid.org/0000-0003-2687-1982|https://orcid.org/0000-0002-5214-4466	Electronic record					AL 8.2.22: Updated label from the CASRAI "Digital" to "Digital record" to better match the definition and intent of the term, and to provide clarity.		
obo:T4FS_0000312	digital research data	data	Research data in digital form. It may have been originally created in digital form, or it may have been converted from paper, or other non-digital form to a digital representation.	RDMT. https://terms.codata.org/rdmt/digital-research-data	https://orcid.org/0000-0002-7702-4495|https://orcid.org/0000-0003-2687-1982|https://orcid.org/0000-0002-5214-4466								
obo:T4FS_0000087	digital scholarship	data stewardship activity	Scholarship which is dependent upon digital methods, tools or resources. May include building a digital collection of information for further study and analysis; creating appropriate tools for collection-building; creating appropriate tools for the analysis and study of collections; using digital collections and analytical tools to generate new intellectual products; or creating authoring tools for these new intellectual products, either in traditional forms or in digital form.	RDMT. https://terms.codata.org/rdmt/digital-scholarship	https://orcid.org/0000-0002-7702-4495|https://orcid.org/0000-0003-2687-1982|https://orcid.org/0000-0002-5214-4466								
obo:T4FS_0000245	digitisation	curation	Process of creating digital files by scanning or otherwise converting analogue materials. The resulting digital copy, or digital surrogate, would then be classed as digital material and then subject to the same broad challenges involved in preserving access to it, as born-digital materials.	RDMT. https://terms.codata.org/rdmt/digitisation	https://orcid.org/0000-0002-7702-4495|https://orcid.org/0000-0003-2687-1982|https://orcid.org/0000-0002-5214-4466								
obo:T4FS_0000119	disambiguation	curation	The act of interpreting an author's intended use of a word that has multiple meanings or spellings.	Definition from now-deprecated CASRAI Glossary term: dissambuation	https://orcid.org/0000-0002-7702-4495|https://orcid.org/0000-0003-2687-1982|https://orcid.org/0000-0002-5214-4466								
obo:T4FS_0000491	document in lay terms	publish data	Know the purpose of the public use, choose the proper subjects for the audience and describe the project work for the purpose/audience chosen.		Celia van Gelder|Mateusz Kuzak|Yan Wang								
obo:T4FS_0000450	document type definition	'contributes to the implementation of' some 'I1. (meta)data use a formal, accessible, shared, and broadly applicable language for knowledge representation'|data stewardship technical concept	Definition of the structure and the legal elements and attributes of an XML document.	RDMT. https://terms.codata.org/rdmt/document-type-definition	https://orcid.org/0000-0002-7702-4495|https://orcid.org/0000-0003-2687-1982|https://orcid.org/0000-0002-5214-4466								
obo:T4FS_0000078	documented data	data	Data that are delivered with all associated metadata, data dictionary, description of methods and instruments used to collect and process the data, and other supporting data (such as duplicate sample results, replicate analyses, percent recovery, etc.) with the purpose of providing the full context in which the data were created.	RDMT. https://terms.codata.org/rdmt/documented-data	https://orcid.org/0000-0003-2687-1982|https://orcid.org/0000-0002-5214-4466								
obo:T4FS_0000616	DSM-0-C0	fairplus DSM content-related indicator	Dataset(s) are NOT Identifiable via Unique Identifiers	https://fairplus.github.io/Data-Maturity/docs/Indicators/	https://orcid.org/0000-0002-7702-4495								
obo:T4FS_0000629	DSM-0-C1	fairplus DSM content-related indicator	Study/Project-Level metadata is NOT reported	https://fairplus.github.io/Data-Maturity/docs/Indicators/	https://orcid.org/0000-0002-7702-4495								
obo:T4FS_0000634	DSM-0-C2	fairplus DSM content-related indicator	Dataset Descriptor does NOT include a reference to the Dataset it describes	https://fairplus.github.io/Data-Maturity/docs/Indicators/	https://orcid.org/0000-0002-7702-4495								
obo:T4FS_0000644	DSM-0-H1	fairplus DSM hosting-environment capabilities indicator	Data or metadata is hosted in non-accessible storage (e.g., personal desktop, local file system or archive)	https://fairplus.github.io/Data-Maturity/docs/Indicators/	https://orcid.org/0000-0002-7702-4495								
obo:T4FS_0000649	DSM-0-H2	fairplus DSM hosting-environment capabilities indicator	Data or metadata hosted in an accessible resource but with no retrieval capability	https://fairplus.github.io/Data-Maturity/docs/Indicators/	https://orcid.org/0000-0002-7702-4495								
obo:T4FS_0000656	DSM-0-H3	fairplus DSM hosting-environment capabilities indicator	Dataset's Metadata is NOT searchable via keywords or elements within the Descriptor 	https://fairplus.github.io/Data-Maturity/docs/Indicators/	https://orcid.org/0000-0002-7702-4495								
obo:T4FS_0000600	DSM-0-R1	fairplus DSM representation and format indicator	Contextual Metadata is NOT formally represented in any form 	https://fairplus.github.io/Data-Maturity/docs/Indicators/	https://orcid.org/0000-0002-7702-4495								
obo:T4FS_0000587	DSM-0-R2	fairplus DSM representation and format indicator	No representation of Data purposed for FAIR sharing is available	https://fairplus.github.io/Data-Maturity/docs/Indicators/	https://orcid.org/0000-0002-7702-4495								
obo:T4FS_0000593	DSM-0-R3	fairplus DSM representation and format indicator	Dataset Metadata is NOT formally represented in a structured Dataset Descriptor 	https://fairplus.github.io/Data-Maturity/docs/Indicators/	https://orcid.org/0000-0002-7702-4495								
obo:T4FS_0000606	DSM-0-R4	fairplus DSM representation and format indicator	Dataset Descriptor (metadata) is NOT available in a Machine Readable Format	https://fairplus.github.io/Data-Maturity/docs/Indicators/	https://orcid.org/0000-0002-7702-4495								
obo:T4FS_0000611	DSM-0-R5	fairplus DSM representation and format indicator	Dataset(s) are NOT available in a Machine Readable Format	https://fairplus.github.io/Data-Maturity/docs/Indicators/	https://orcid.org/0000-0002-7702-4495								
obo:T4FS_0000617	DSM-1-C0	'confers compliance with' some 'F1. (meta)data are assigned a globally unique and persistent identifier'|fairplus DSM content-related indicator	Each Dataset purposed for FAIR sharing is assigned a unique identifier	https://fairplus.github.io/Data-Maturity/docs/Indicators/	https://orcid.org/0000-0002-7702-4495								
obo:T4FS_0000630	DSM-1-C1	'confers compliance with' some 'R1. (meta)data are richly described with a plurality of accurate and relevant attributes'|'confers compliance with' some 'F2. data are described with rich metadata'|fairplus DSM content-related indicator	Dataset Descriptor includes Descriptive Study/Project-Level summary information	https://fairplus.github.io/Data-Maturity/docs/Indicators/	https://orcid.org/0000-0002-7702-4495								
obo:T4FS_0000635	DSM-1-C2	'confers compliance with' some 'R1. (meta)data are richly described with a plurality of accurate and relevant attributes'|'confers compliance with' some 'F3. metadata clearly and explicitly include the identifier of the data they describe'|fairplus DSM content-related indicator	Dataset Descriptor includes Identifying & Descriptive Dataset-Level metadata	https://fairplus.github.io/Data-Maturity/docs/Indicators/	https://orcid.org/0000-0002-7702-4495								
obo:T4FS_0000636	DSM-1-C3	'confers compliance with' some 'A1. (meta)data are retrievable by their identifier using a standardised communications protocol'|fairplus DSM content-related indicator	Dataset Descriptor contains access information for the Dataset	https://fairplus.github.io/Data-Maturity/docs/Indicators/	https://orcid.org/0000-0002-7702-4495								
obo:T4FS_0000645	DSM-1-H1	'confers compliance with' some 'A1. (meta)data are retrievable by their identifier using a standardised communications protocol'|'confers compliance with' some 'F3. metadata clearly and explicitly include the identifier of the data they describe'|fairplus DSM hosting-environment capabilities indicator	Metadata hosting environment stores and maintains an identifiable Dataset Descriptor for each identifiable Dataset	https://fairplus.github.io/Data-Maturity/docs/Indicators/	https://orcid.org/0000-0002-7702-4495								
obo:T4FS_0000650	DSM-1-H2	'confers compliance with' some 'A1. (meta)data are retrievable by their identifier using a standardised communications protocol'|fairplus DSM hosting-environment capabilities indicator	The Dataset and its Descriptor are indexed and retrievable (in the same or separate hosting environments) via unique and persistent identifiers 	https://fairplus.github.io/Data-Maturity/docs/Indicators/	https://orcid.org/0000-0002-7702-4495								
obo:T4FS_0000651	DSM-1-H3	'confers compliance with' some 'A1.1 the protocol is open, free, and universally implementable'|fairplus DSM hosting-environment capabilities indicator	Retrieval of the Dataset and the Dataset Descriptor utilises a standardized communication protocol that is open, free and universally implementable	https://fairplus.github.io/Data-Maturity/docs/Indicators/	https://orcid.org/0000-0002-7702-4495								
obo:T4FS_0000657	DSM-1-H4	'confers compliance with' some 'F4. (meta)data are registered or indexed in a searchable resource'|fairplus DSM hosting-environment capabilities indicator	Metadata hosting environment offers the capability to browse and search contents of the Dataset Descriptor 	https://fairplus.github.io/Data-Maturity/docs/Indicators/	https://orcid.org/0000-0002-7702-4495								
obo:T4FS_0000594	DSM-1-R0	fairplus DSM representation and format indicator	Dataset Metadata is formally represented in the form of an Identifiable Dataset Descriptor	https://fairplus.github.io/Data-Maturity/docs/Indicators/	https://orcid.org/0000-0002-7702-4495								
obo:T4FS_0000601	DSM-1-R1	fairplus DSM representation and format indicator	Contextual Metadata is reported at summary level and represented in the Dataset Descriptor	https://fairplus.github.io/Data-Maturity/docs/Indicators/	https://orcid.org/0000-0002-7702-4495								
obo:T4FS_0000588	DSM-1-R2	fairplus DSM representation and format indicator	Structured and/or Unstructured Data are organised into Dataset(s) created for the purpose of FAIR sharing	https://fairplus.github.io/Data-Maturity/docs/Indicators/	https://orcid.org/0000-0002-7702-4495								
obo:T4FS_0000595	DSM-1-R3	fairplus DSM representation and format indicator	A representation of the Dataset Descriptor conforming to a relevant General Purpose Metadata Schema is available	https://fairplus.github.io/Data-Maturity/docs/Indicators/	https://orcid.org/0000-0002-7702-4495								
obo:T4FS_0000607	DSM-1-R4	fairplus DSM representation and format indicator	Dataset Descriptor is available in Machine Readable Format	https://fairplus.github.io/Data-Maturity/docs/Indicators/	https://orcid.org/0000-0002-7702-4495								
obo:T4FS_0000612	DSM-1-R5	fairplus DSM representation and format indicator	Dataset(s) available in Machine Readable Format 	https://fairplus.github.io/Data-Maturity/docs/Indicators/	https://orcid.org/0000-0002-7702-4495								
obo:T4FS_0000631	DSM-2-C1	'confers compliance with' some 'R1. (meta)data are richly described with a plurality of accurate and relevant attributes'|fairplus DSM content-related indicator	A locally defined Domain Model contains concepts that describes the overall project/study design, the relationships between the Datasets, the key entities reported within the Datasets and the relationships between them.	https://fairplus.github.io/Data-Maturity/docs/Indicators/	https://orcid.org/0000-0002-7702-4495								
obo:T4FS_0000618	DSM-2-C2	'confers compliance with' some 'R1. (meta)data are richly described with a plurality of accurate and relevant attributes'|fairplus DSM content-related indicator	Where applicable, data is structured in the Dataset according to the Tidy Data Principles	https://fairplus.github.io/Data-Maturity/docs/Indicators/	https://orcid.org/0000-0002-7702-4495								
obo:T4FS_0000621	DSM-2-C3	'confers compliance with' some 'I3. (meta)data include qualified references to other (meta)data'|fairplus DSM content-related indicator	Dataset(s) include Reference Fields that enable joining related datasets	https://fairplus.github.io/Data-Maturity/docs/Indicators/	https://orcid.org/0000-0002-7702-4495								
obo:T4FS_0000625	DSM-2-C4	'confers compliance with' some 'R1. (meta)data are richly described with a plurality of accurate and relevant attributes'|'confers compliance with' some 'F2. data are described with rich metadata'|fairplus DSM content-related indicator	Where applicable, Dataset Field Values are standardized against a locally defined Data Dictionary within and across related Datasets	https://fairplus.github.io/Data-Maturity/docs/Indicators/	https://orcid.org/0000-0002-7702-4495								
obo:T4FS_0000637	DSM-2-C5	fairplus DSM content-related indicator	Dataset Descriptor includes reference to related Datasets and if applicable the relevant joining Dataset Fields	https://fairplus.github.io/Data-Maturity/docs/Indicators/	https://orcid.org/0000-0002-7702-4495								
