LABEL	Parent	Definition	IAO:0000117	IAO:0000118	obo:T4FS_0000564	obo:T4FS_0000565	oboInOwl:created_by	oboInOwl:creation_date	rdfs:comment
LABEL	SC % SPLIT=|	A definition	A 'term editor'	A Alternative term	A alternative definition	A alternative definition source	A created by	A creation date	A comment
Data steward	'has/wants competency in' some 'FAIR stewardship training'|'has/wants competency in' some 'Research data management'|'has/wants competency in' some 'Understanding persistent identifiers'|Role	Data stewardship is a shared responsibility between Principal Investigators and data stewards. Principal Investigators are responsible for, and data stewards provide support for: (a) Data collection, data integration, or reuse of existing data; (b) Review of data quality; (c) Description of scientific workflow/process; (d) Provision of standards-compliant metadata; and, (e) Submission of data and data.	Peter McQuilton				Peter McQuilton
Data stewardship activity	'requires/improves personal attribute' some 'Data stewardship soft skill'	A specific deed, action, function or sphere of action in relation with the role of data stewardship	Allyson Lister|Peter McQuilton|Yann Le Franc		Set of actions carried out during data stewardship processes
Data stewardship guideline			Yann Le Franc				ylefranc	2021-03-17T16:34:14.943152Z
Data stewardship soft skill		The personal attributes necessary to perform a task.	Peter McQuilton		Aptitude is the innate trait or talent that a person brings to a task or situation. It is the quality of being able to do something. An aptitude is not something that can be learned or developed unless it is there to begin with.
Data stewardship technical concept	'contributes to the implementation of' some 'Data stewardship guideline'		Allyson Lister|Peter McQuilton
Data store	Data stewardship technical concept	A repository for persistently storing collections of data, such as a database, a file system or a directory. The data stored can be of any type that can be rendered in digital format and placed in electronic media. Examples include text, image, video files and audio files.	Peter McQuilton
Data stream	Data stewardship technical concept	A sequence of digitally encoded, coherent signals used to send or receive a representation of information content as transmitted.	Peter McQuilton
Data structure	Data stewardship technical concept	A specialized format for organizing and storing data. General data structure types include the array, the file, the record, the table, the tree, and so on. Any data structure is designed to organize data to suit a specific purpose so that it can be accessed and worked with in appropriate ways....	Peter McQuilton	Data format
Data structure continuum	Data stewardship technical concept	The continuum of data structure that includes unstructured data, semi-structured data, and structured data.	Peter McQuilton
Data table attribute	Data stewardship technical concept	1. A field or column in a database table. It is an abbreviation for 'physical data attribute' which is a single data element related to a data object, such as a table in a database. The database schema associates one or more attributes with each database entity (i.e. table). 2. A term for a logical or conceptual attribute such as in an entity-attribute-relationship (EAR) data model.	Peter McQuilton
Data traceability	Data stewardship technical concept	Data traceability follows the lifecycle of data to track all access and changes to the data. It helps demonstrate transparency, compliance and adherence to regulations. Data traceability, along with data compliance, can be considered part of a data audit process. Data traceability is fundamental to reproducible research.	Peter McQuilton
Data transformation	Data analysis	Manipulation of raw data to produce a single output.	Allyson Lister|Peter McQuilton
Data type registry	Data store	1. A registry that links data types of all sorts with the executable data processing functions that can be useful for working with a specific data type. Examples include: complex file types in biology (diagnosis), registering categories that appear in PID records to describe data properties. Data types range from complex digital objects to simple...	Peter McQuilton
Data upload database	Data store	A collection of interrelated data often with controlled redundancy, organized according to a scheme to serve one or more applications; the data are stored so that they can be used by several programs without concern for data structures or organization.	Peter McQuilton
Data validation	'supports implementation of' some 'FAIR principle'|Curation	Provides well-defined guarantees for fitness, accuracy, and consistency for any of various kinds of user input into an application or automated system. Data validation checks that data are valid, sensible, reasonable, clean, usable, and secure before they are processed. Failures or omissions in data validation can lead to data corruption, security vulnerability. Improperly validated data &hellip; <a href=CASRAI. https://casrai.org/term/data-validation/ class=more-link	Peter McQuilton
Data warehouse	Data store	A central repository for all or significant parts of the data that an organization's various business systems collect. A data warehouse tends to be a strategic but somewhat unfinished concept. Data warehousing emphasizes the capture of data from diverse sources for useful analysis and access, but does not generally start from the point-of-view of the &hellip; <a href=CASRAI. https://casrai.org/term/data-warehouse/ class=more-link	Peter McQuilton
Data wrangling	'supports implementation of' some 'FAIR principle'|Curation	The process of manually or semi-automatically converting or mapping data from one form into another format that allows for more convenient consumption of the data with the help of semi-automated tools. Gathering and organizing disparate data from different sources, often collected by many different investigators. Activities include developing and supporting search tools that utilize standardized &hellip; <a href=CASRAI. https://casrai.org/term/data-wrangling/ class=more-link	Peter McQuilton
Database	Data store	A collection of data that is organised in a according to a conceptual structure/model describing the characteristics of these data and the relationships among their corresponding entities, supporting one or more application areas. A database allows its contents to be easily accessed, managed and updated. The type of database used depends on the requirements of &hellip; <a href=CASRAI. https://casrai.org/term/database/ class=more-link	Peter McQuilton
Database administration	Data management	The function of managing the physical aspects of data resources, including database design and integrity, backup and recovery, performance and tuning.	Allyson Lister|Peter McQuilton
Database developer	Role
Dataset	Dataset series	Any organized collection of data in a computational format, defined by a theme or category that reflects what is being measured/observed/monitored. The presentation of the data in the application is enabled through metadata.REFERENCE. Research Data Alliance http://smw-rda.esc.rzg.mpg.de/index.php/Main_Page ; Mapping the Data Landscape 2011 Summit; TBS Standard on Geospatial Data (ISO 19115:2003); Environment Canada data stewardship &hellip; <a href=CASRAI. https://casrai.org/term/dataset/ class=more-link	Peter McQuilton
Dataset series	Database	A collection of datasets sharing the same product specification. A dataset series is a type of aggregation or collection with some logical grouping such as by a topic (specification) with the (product) unit being a dataset series. Example: A series of earth observations. Each year, month or week (depending on the volume) might be a &hellip; <a href=CASRAI. https://casrai.org/term/dataset-series/ class=more-link	Peter McQuilton
De facto standard	'contributes to the implementation of' some 'I1. (Meta)data use a formal, accessible, shared, and broadly applicable language for knowledge representation'|Data stewardship technical concept	A standard that is widely accepted and used, but lacks formal approval by a recognized standards developing organization (e.g., the QWERTY keyboard).	Peter McQuilton
De-anonymization	Information security	De-anonymization is a reverse engineering process in which de-identified data are cross-referenced with other data sources to re-identify the personally identifiable information. This could occur if a de-identification process had not been not successfully performed, or had not been undertaken in the first place.	Allyson Lister|Peter McQuilton
De-identification	Information security	1. The act of minimally perturbing individual-level data to decrease the probability of discovering an individualís identity. It involves masking direct identifiers (e.g., name, phone number, address) as well as transforming indirect identifiers that could be used alone or in combination to-identify an individual (e.g., birth dates, geographic details, dates of key events). If done correctly, de-identification is a defensible, repeatable, and auditable process that consistently provides assurance, based on generally accepted and repeatable statistical methodologies, that there is a very small risk of re-identification of any data that are released. 2. The use of one or more techniques designed to make it impossible — or at least more difficult — to identify a particular individual from stored data related to them. The purpose of data anonymization is to protect the privacy of the individual and to make it legal for governments and businesses to share their data without obtaining permission. Such data have proven to be very valuable for researchers, particularly in health care. Data anonymization methods include removing personally identifiable information (e.g., names, addresses, social insurance numbers, Medicare numbers, etc.), or using obfuscation methods such as encryption, hashing, generalization, pseudonymization, and perturbation.	Allyson Lister|Peter McQuilton	Anonymization
Define access policy	Information security	Understand the needs and conditions of information access for different stakeholder groups. Identify the responsibility and rights for each stakeholder group on informaiton access. Build up a catalogue of risk profiles. For each risk profile, develope mitigation protocols.	Angus Whyte|Celia van Gelder|Mateusz Kuzak|Yan Wang
Descriptive metadata	'contributes to the implementation of' some 'Interoperability of digital assets'|Interoperability	Enables identification, location, and retrieval of information resources by users, often including the use of controlled vocabularies for classification and indexing and links to related resources.REFERENCE. DCC/TC3+	Peter McQuilton
Design and apply processes for attribution	Research integrity, attribution, impact awareness	Iniitate and develop processes for crediting the contributions of researchers and professional groups towards making FAIR outputs	Angus Whyte|Celia van Gelder|Mateusz Kuzak|Yan Wang
Design processes for research integrity	Research integrity, attribution, impact awareness	Initiate and develop processes to ensure outputs are made FAIR consistently with research integrity principles, and with ethical oversight.	Angus Whyte|Celia van Gelder|Mateusz Kuzak|Yan Wang
Develop FAIR and open research strategy	Develop open research strategy and vision	Find the people with a good understand of FAIR and open research challenges in your organiation, and create a work agenda.	Angus Whyte|Celia van Gelder|Mateusz Kuzak|Yan Wang
Develop FAIR and open research vision	Develop open research strategy and vision	Include FAIR and open research in the strategic framework for the organization and set objectives and timeframe.	Angus Whyte|Celia van Gelder|Mateusz Kuzak|Yan Wang
Develop open research strategy and vision	Strategic/long-term planning	The activity of developing an open research strategy and vision.	Angus Whyte|Celia van Gelder|Mateusz Kuzak|Yan Wang
Digital Object Identifier	'contributes to the implementation of' some 'F1. (Meta)data are assigned a globally unique and persistent identifier'|Persistent identifier	A name (not a location) for an entity on digital networks. It provides a system for persistent and actionable identification and interoperable exchange of managed information on digital networks. A DOI is a type of Persistent Identifier (PID) issued by the International DOI Foundation. This permanent identifier is associated with a digital object that permits it to be referenced reliably even if its location and metadata undergo change over time.	Allyson Lister|Peter McQuilton
Digital archiving	Archiving	1. In the context of library and archiving communities: Digital archiving is often used interchangeably with digital preservation. 2. In the context of computing: Digital archiving is process of backup and ongoing maintenance as opposed to strategies for long-term digital preservation.	Allyson Lister|Peter McQuilton
Digital data	Data stewardship technical concept	Data in the form of digital materials.	Allyson Lister|Peter McQuilton
Digital infrastructure	Data stewardship technical concept	Those layers that sit between base technology (a computer science concern) and discipline-specific science. The focus is on value-added systems and services that can be widely shared across scientific domains, both supporting and enabling large increases in multi- and interdisciplinary science while reducing duplication of effort and resources (e.g., including hardware, software, personnel, services and organizations).	Allyson Lister|Peter McQuilton	Cyber infrastructure
Digital materials	Data stewardship technical concept	A broad term encompassing: (a) digital surrogates created as a result of converting analogue materials to digital form (digitisation); (b) born digital for which there has never been and is never intended to be an analogue equivalent; and, (c) digital records.	Allyson Lister|Peter McQuilton
Digital object	Data stewardship technical concept	A digital object is editable, interactive, accessible and modifiable by means of digital objects other than the one governing its behaviour, and is distributed over information infrastructures. It is a machine-independent data structure consisting of one or more elements in digital form that can be parsed by different information systems; the structure helps to enable interoperability among diverse information systems in the Internet.	Allyson Lister|Peter McQuilton
Digital preservation	Data stewardship technical concept	The series of managed activities necessary to ensure continued access to digital materials for as long as necessary. Digital preservation is defined very broadly and refers to all of the actions required to maintain access to digital materials beyond the limits of media failure or technological change. Those materials may be records created during the day-to-day business of an organisation; “”born-digital”” materials created for a specific purpose (e.g. teaching resources); or the products of digitisation projects. This definition specifically excludes the potential use of digital technology to preserve the original artefacts through digitisation.	Allyson Lister|Peter McQuilton
Digital record	Data stewardship technical concept	A record created digitally in the day-to-day business of the organisation and assigned formal status by the organisation. Examples include: word processing documents, emails, databases, or intranet web pages.	Allyson Lister|Peter McQuilton	Electronic record					AL 8.2.22: Updated label from the CASRAI "Digital" to "Digital record" to better match the definition and intent of the term, and to provide clarity.
Digital research data	Data stewardship technical concept	Research data which is in digital form. It may have been originally created in digital form, or it may have been converted from paper, or other form to a digital representation.	Allyson Lister|Peter McQuilton
Digital scholarship	Data stewardship activity	Incorporates: building a digital collection of information for further study and analysis; creating appropriate tools for collection- building; creating appropriate tools for the analysis and study of collections; using digital collections and analytical tools to generate new intellectual products; and, Creating authoring tools for these new intellectual products, either in traditional forms or in digital form.	Allyson Lister|Peter McQuilton
Digitisation	Curation	The process of creating digital files by scanning or otherwise converting analogue materials. The resulting digital copy, or digital surrogate, would then be classed as digital material and then subject to the same broad challenges involved in preserving access to it, as born digital materials.	Allyson Lister|Peter McQuilton
Disambiguation	Curation	The act of interpreting an author's intended use of a word that has multiple meanings or spellings.	Allyson Lister|Peter McQuilton
Document in lay terms	Publish data	Know the purpose of the public use, choose the proper subjects for the audience and describe the project work for the purpose/audience chosen.	Celia van Gelder|Mateusz Kuzak|Yan Wang
Document type definition	'contributes to the implementation of' some 'I1. (Meta)data use a formal, accessible, shared, and broadly applicable language for knowledge representation'|Data stewardship technical concept	The building blocks of an XML document.	Allyson Lister|Peter McQuilton
Documented data	Data stewardship technical concept	Data that are delivered with all associated metadata, data dictionary, description of methods and instruments used to collect and process the data, and other supporting data (e.g., duplicate sample results, replicate analyses, percent recovery, etc.).	Peter McQuilton
Dublin Core	'contributes to the implementation of' some 'I1. (Meta)data use a formal, accessible, shared, and broadly applicable language for knowledge representation'|Data stewardship technical concept	An initiative to create a digital library card catalog for the Web. Dublin Core is made up of 15 metadata elements that offer expanded cataloging information and improved document indexing for search engine programs. The 15 metadata elements used by Dublin Core are: title (the name given the resource), creator (the person or organization responsible for the content), subject (the topic covered), description (a textual outline of the content), publisher (those responsible for making the resource available), contributor (those who added to the content), date (when the resource was made available), type (a category for the content), format (how the resource is presented), identifier (numerical identifier for the content such as a URL), source (where the content originally derived from), language (in what language the content is written), relation (how the content relates to other resources, for instance, if it is a chapter in a book), coverage (where the resource is physically located), and rights (a link to a copyright notice).	Allyson Lister|Peter McQuilton
Dynamic data	Data stewardship technical concept	Data the content of which is changing frequently and at asynchronous moments. Examples include: Data streams that are generated by sensors when it is unpredictable when data segments will appear in time (i.e. data streams have gaps); Data streams that are generated by humans in crowdsourcing scenarios where it is not clear when which cell in a database will be filled.	Allyson Lister|Peter McQuilton
Electronic health record	Data stewardship technical concept	1. A compilation of core electronic health data submitted by various healthcare providers and organizations, accessible by numerous authorized parties from a number of points of care, possibly even from different jurisdictions. 2. An official health record for an individual that is shared among multiple facilities and agencies. 3. Electronic health records typically include: Contact information, Information about visits to health care professionals, Allergies, Insurance information, Family history, Immunization status, Information about any conditions or diseases, A list of medications, Records of hospitalization, Information about any surgeries or procedures performed. Digitized health information systems are expected to improve efficiency and quality of care and, ultimately, reduce costs. The benefits of electronic health records include: The ability to automatically share and update information among different offices and organizations, More efficient storage and retrieval, The ability to share multimedia information, such as medical imaging results, among locations, The ability to link records to sources of relevant and current research, Easier standardization of services and patient care, Provision of decision support systems (DSS) for healthcare professionals, Less redundancy of effort, Lower cost to the medical system once implementation is complete, The governments of many countries are working to ensure that all citizens have standardized electronic health records and that all records include the same types of information. The major barrier for the adoption of electronic health records is cost.	Allyson Lister|Peter McQuilton
Electronic medical record	Data stewardship technical concept	An electronic version of the paper record that doctors have traditionally maintained for their patients and which is typically only accessible within the facility or office that controls it.	Peter McQuilton
Encoding schema	Findability of digital assets	Machine processable specifications which define the structure and syntax of metadata specifications in a formal schema language.	Allyson Lister|Peter McQuilton
Engage innovation partners	Engaging in open innovation beyond academia	Learn about innovation partners' interests and concerns, analyze them and position the project work/outcome properly. Reach out to innovation partners with proactive and pragmatic innovation plan which is in compliance with FAIR principles.	Celia van Gelder|Mateusz Kuzak|Yan Wang
Engaging in open innovation beyond academia	Publish data
Ethical application of patents, licenses	Publish data
Evaluation	Assessment	Evaluation is a decision about significance, value, or quality of something, based on careful study of its good and bad features.	Allyson Lister|Peter McQuilton						AL 17.3.22: We may wish to make this an alternative term of Assessment.
Evaluation of how to publish your data	'supports implementation of' some 'FAIR principle'|Exposing data	To be able to define and deploy appropriate criteria, based on the FAIR principles, to identify the appropriate publishing platform for a dataset. This may, for example, involve discovering the mark-up of the platform, the exchange formats and data models used, and the licensing information for each repository. Tools such as the FAIR evaluator or FAIRshake may be used to assess the FAIRnessbased on human-entered questionnaires or FAIRsharing resource metadata.	Peter McQuilton
Exposing data	'has/wants competency in' some 'Data stewardship activity'|'supports implementation of' some 'FAIR principle'|Data stewardship activity	Exposing data is the activity of exposing your data to collaborators, the public, or other interested parties. A data producer makes the data accessible to external users in a machine- and/or human-readable way.	Allyson Lister|Peter McQuilton						AL 15.3.22: Was "expose your data", which was not in the style of other term labels. Also updated definition, but might need revisiting later for a more formal definition.
Extensible Markup Language	'contributes to the implementation of' some 'I1. (Meta)data use a formal, accessible, shared, and broadly applicable language for knowledge representation'|Data stewardship technical concept	Extensible Markup Language (XML) is a simple, very flexible text format derived from SGML (ISO 8879). Originally designed to meet the challenges of large-scale electronic publishing, XML is also playing an increasingly important role in the exchange of a wide variety of data on the Web and elsewhere.	Allyson Lister|Peter McQuilton	XML
Extensible resource identifier	'contributes to the implementation of' some 'F1. (Meta)data are assigned a globally unique and persistent identifier'|Identifier	A defining scheme used for identification of resources (including people and organizations) and the sharing of data across domains, enterprises, and applications. XRI TC will define a Uniform Resource Identifier (URI) scheme and a corresponding Uniform Resource (URN) namespace.n/aCASRAI. https://www.oasis-open.org/committees/tc_home.php?wg_abbrev=xri	Peter McQuilton
F1. (Meta)data are assigned a globally unique and persistent identifier	Findability of digital assets		Peter McQuilton
F2. Data are described with rich metadata	Findability of digital assets		Peter McQuilton
F3. Metadata clearly and explicitly include the identifier of the data they describe	Findability of digital assets		Peter McQuilton
F4. (Meta)data are registered or indexed in a searchable resource	Findability of digital assets		Peter McQuilton
FAIR Mentoring	'supports implementation of' some 'FAIR principle'|FAIR training	The act of mentoring around FAIR data stewardship.	Allyson Lister|Peter McQuilton|Philippe Rocca-Serra|Susanna Sansone
FAIR Metrics selection skills	'supports implementation of' some 'FAIR principle'|FAIRness assessment	Ability to select the appropriate FAIR metrics among the existing ones in relation to the type of digital object concerned.	Kristina Hettne|Victoria Dominguez Del Angel|Yann Le Franc
FAIR evaluation of repositories for data deposition	'supports implementation of' some 'FAIR principle'|Exposing data	To be able to define and deploy appropriate criteria, based on the FAIR principles, to identify the appropriate repository for a dataset. This may, for example, involve discovering the mark-up of the repository, the exchange formats and data models used, and the licensing information for each repository. Tools such as the FAIR evaluator or FAIRshake may be used to assess the FAIRness of a repository based on human-entered questionnaires or FAIRsharing resource metadata.	Peter McQuilton	FAIR data submission|Repository FAIRness
FAIR principle	Data stewardship guideline	The FAIR principles are guidelines to improve the Findability, Accessibility, Interoperability, and Reuse of digital assets. The principles emphasise machine-actionability (i.e., the capacity of computational systems to find, access, interoperate, and reuse data with none or minimal human intervention) because humans increasingly rely on computational support to deal with data as a result of the increase in volume, complexity, and creation speed of data. The principles refer to three types of entities: data (or any digital object), metadata (information about that digital object), and infrastructure.	Peter McQuilton				Peter McQuilton	2020-10-02T14:56:15.031154Z
FAIR stewardship supervising	'supports implementation of' some 'FAIR principle'|FAIR training	The activity of supervision of other people to ensure FAIR data practices.	Allyson Lister|Peter McQuilton|Philippe Rocca-Serra|Susanna Sansone
FAIR stewardship training	'supports implementation of' some 'FAIR principle'|FAIR training	The provision of training materials and events in and around good data stewardship.	Allyson Lister|Peter McQuilton|Philippe Rocca-Serra|Susanna Sansone
FAIR training	'confers/requires competency about' some 'Advise and mentor'|'supports implementation of' some 'FAIR principle'|Data stewardship activity	Activities in and around the provision of training, mentorship and teaching opportunities for good data management and the implementation of FAIR practices.	Allyson Lister|Peter McQuilton|Philippe Rocca-Serra|Susanna Sansone
FAIRness assessment	'supports implementation of' some 'FAIR principle'|Assessment	Ability to apply knowledge about FAIR metrics and assessing FAIRness using FAIR assessment tools.	Kristina Hettne|Victoria Dominguez Del Angel|Yann Le Franc
Findability of digital assets	FAIR principle		Peter McQuilton
Flexibility in relating FAIR criteria to openness	'has/wants competency in' only 'Data stewardship soft skill'|'has/wants competency in' some 'Data stewardship soft skill'|FAIR training	Appreciate the need for flexibility in applying FAIR criteria to make data as open as possible, as closed as necessary.	Angus Whyte
Format and media migration	Archiving		Kristina Hettne|Victoria Dominguez Del Angel|Yann Le Franc
Foundational interoperability	'contributes to the implementation of' some 'Interoperability of digital assets'|Interoperability	Foundational interoperability allows data exchange from one information technology system to be received by another and does not require the ability for the receiving information technology system to interpret the data.REFERENCE. Healthcare information management and systems society	Peter McQuilton
Funding acquisition management	'has/wants competency in' some 'A knowledge for resource management'|'has/wants competency in' some 'Data stewardship activity'|Resource management	The consideration of available monetary resources for a specific time period to serve a specific purpose.	Kristina Hettne|Simon Hodson|Victoria Dominguez Del Angel
Github repository	Learning medium		Peter McQuilton				Peter McQuilton	2020-10-01T21:03:55.425579Z
Golden record	Data stewardship technical concept	1. A single, well-defined version of all the data entities in an organizational ecosystem. In this context, a golden record is sometimes called the single version of the truth, where truth is understood to mean the reference to which data users can turn when they want to ensure that they have the correct version of a piece of information. The golden record encompasses all the data in every system of record within a particular organization. A system of record is an information storage and retrieval system that serves as the authoritative source for a particular data element in a system containing multiple sources of the same element. To ensure data integrity, a single system of record must always exist for each and every data element. A well-maintained, current golden record should be a fundamental element of the Master Data Management policy for every enterprise. 2. The word “golden” is sometimes used in information technology to express the importance of some type of source. In the context of virtualization, for example, a golden image is a template for a virtual machine, virtual desktop, servers, or hard disk drive.	Allyson Lister|Peter McQuilton
Governance	Data stewardship activity	1. Exercising authority to provide direction and to undertake, coordinate, and regulate activities in support of achieving this direction and desired outcomes. Governance can be thought of as the role of an organization's board of directors or its equivalent that is focused on defining that organization's purpose and the development of the strategies, objectives, values, and policies that frame how that purpose will be pursued. It includes the development of such things as mission statements, statements of organizational objectives and values, logic models, organizational performance metrics, risk management frameworks, policies and guidelines for financial and operational matters, stakeholder relations, etc.	Peter McQuilton
Governance and accountability model	Data stewardship technical concept	Provides the relationship and process context for working together to ensure outcomes are achieved.	Allyson Lister|Peter McQuilton
High performance computing management	'has/wants competency in' some 'A knowledge for resource management'|'has/wants competency in' some 'Data stewardship activity'|Resource management	High-performance computing (HPC) is a process for using of super computers and parallel processing techniques for solving complex computational problems. HPC technology focuses on developing parallel processing algorithms and systems by incorporating both administration and parallel computational techniques.	Kristina Hettne|Simon Hodson|Victoria Dominguez Del Angel	HPC management
High quality data	Data stewardship technical concept	High-quality data are complete, timely, accurate, consistent, relevant, reliable, traceable, cleaned, validated, and well documented.	Peter McQuilton
How to find FAIR research data tools/services (catalogues)	'supports implementation of' some 'FAIR principle'|The use of FAIR and open research tools or services	Know how to search for and identify FAIR services or tools that fit project needs.	Angus Whyte
How to make your data reuseable	'supports implementation of' some 'Reuse of digital assets'|The use of FAIR and open research tools or services	Understand what reuse is permitted according to the licenses or terms and conditions applicable to services, tools and their content.	Angus Whyte
Human-readable format	'contributes to the implementation of' some 'I1. (Meta)data use a formal, accessible, shared, and broadly applicable language for knowledge representation'|Data stewardship technical concept	Data and code that are commented so that humans can understand what it represents, it's design, and purpose.REFERENCE. Wilson G, Aruliah DA, Brown CT, Hong NPC, Davis M, Guy RT, Haddock SHD, Huff K, Mitchell IM, Plumbley MD, Waugh B, White EP, Wilson P (2012). Best practices for scientific computing , arXiv, 29 November, 1-6.	Peter McQuilton
I1. (Meta)data use a formal, accessible, shared, and broadly applicable language for knowledge representation	Interoperability of digital assets		Peter McQuilton
I2. (Meta)data use vocabularies that follow FAIR principles	Interoperability of digital assets		Peter McQuilton
I3. (Meta)data include qualified references to other (meta)data	Interoperability of digital assets		Peter McQuilton
Identifier	'contributes to the implementation of' some 'F1. (Meta)data are assigned a globally unique and persistent identifier'|Data stewardship technical concept		Peter McQuilton
Identity management	'has/wants competency in' some 'A knowledge for resource management'|Resource management	Identity Management (IdM), also called Identity and Access Management (IAM) refers to a framework of policies and technologies for ensuring that the proper  user in an organisation has the appropriate access to technology resources  systems fall under the overarching umbrella of IT security.  IdM systems not only identify, but authenticate and authorize individuals  who will be using IT resources, but also the hardware and applications users need to access.	Kristina Hettne|Leighton Christiansen|Simon Hodson|Victoria Dominguez Del Angel	IAM|IdM|Identity and Access Management
Impact	Data stewardship technical concept	In the context of a researcher's activities, impact is the consequence of the research and new knowledge on the advancement of the specialty. Science-based policies, regulations, services and technology transfers are some examples of ways target results can be achieved and impact demonstrated.	Peter McQuilton
Implement secure storage	Storage security management	Configure secure storage and monitor its usage	Angus Whyte|Celia van Gelder|Mateusz Kuzak|Yan Wang
Information governance	Information security	Information governance, is the overall strategy for information at an organization. Information governance balances the risk that information presents with the value that information provides. Information governance helps with legal compliance, operational transparency, and reducing expenditures associated with legal discovery.	Allyson Lister|Peter McQuilton						CASRAI is the source for the term, with the definition provided separately.
Information management advisor	Role	A person having a broad knowledge of information management disciplines and who provides guidance and support to program and staff functions on all aspects of managing the information resource.	Peter McQuilton
Information management specialist	Role	A person who is expert in one or more of the information management disciplines that support the effective and efficient management of information.	Peter McQuilton
Information security	Data stewardship activity		Allyson Lister	Access management					AL 16.3.22: Changed 'information security and access management' such that access management went in as an alternative term. If required in future, we may wish to separate it out completely.
Information technology specialist	Role	Information systems and technology infrastructure manager, expert, or technician.	Peter McQuilton
Innovation	Data stewardship activity	In the context of a researcher's activities, innovation is the development of modified or novel approaches, theories, concepts, ideas or solutions. Innovation is one of four valued outcomes.	Allyson Lister|Peter McQuilton
Integrated access management	Data stewardship activity	A combination of business processes, policies and technologies that allows organizations to provide secure access to confidential data. Integrated access management software is used by enterprises to control the flow of sensitive data in and out of the network.	Allyson Lister|Peter McQuilton
Integration	Data stewardship activity	1. The act of bringing together smaller components into a single system that functions as one. 2. In the context of information technology: The end result of a process that aims to stitch together different, often disparate, subsystems so that the data contained in each becomes part of a larger, more comprehensive system that, ideally, quickly and easily shares data when needed. This often requires that organizations build a customized architecture or structure of applications to combine new or existing hardware, software and other communications.	Allyson Lister|Peter McQuilton
Integrity	Data stewardship activity	In the context of data and network security: The assurance that information can only be accessed or modified by those authorized to do so. Measures taken to ensure integrity include controlling the physical environment of networked terminals and servers, restricting access to data, and maintaining rigorous authentication practices. Data integrity can also be threatened by environmental hazards, such as heat, dust, and electrical surges.	Allyson Lister|Peter McQuilton
Intellectual leadership	Data stewardship soft skill	The capacity to influence stakeholders and the direction of research activities; the ability to shape others' understanding in ways that capture interest, inform and gain support; and, the capacity to influence the actions and opinions of others.	Allyson Lister|Peter McQuilton
Interface testing	Assessment	Testing conducted to evaluate whether systems or components pass data and control correctly to each other.	Allyson Lister|Peter McQuilton
International chemical identifier	'contributes to the implementation of' some 'F1. (Meta)data are assigned a globally unique and persistent identifier'|Persistent identifier	In the context of chemistry: The International Chemical Identifier is a non-proprietary identifier for chemical substances that can be used in printed and electronic data sources thus enabling easier linking of diverse data compilations. International Union of Pure and Applied Chemistry (IUPAC)REFERENCE. MIT data management and publishing	Peter McQuilton
International standard	'contributes to the implementation of' some 'I1. (Meta)data use a formal, accessible, shared, and broadly applicable language for knowledge representation'|Data stewardship technical concept	A standard that is used in multiple nations and whose development process is open to representatives from all countries.	Peter McQuilton
Interoperability	'contributes to the implementation of' some 'Interoperability of digital assets'|Data stewardship technical concept	The capability to communicate, execute programs, or transfer data among various functional units in a useful and meaningful manner that requires the user to have little or no knowledge of the unique characteristics of those units. Foundational, syntactic, and semantic interoperability are the three necessary aspects of interoperability.	Peter McQuilton
Interoperability of digital assets	FAIR principle		Peter McQuilton
Investigate open innovation opportunities	Engaging in open innovation beyond academia	Explore the potential application domain/sociental implication of the project work and the communities of users/partners.	Celia van Gelder|Mateusz Kuzak|Yan Wang
Knowledge of authorisation management	Authorisation management	Bin for types of Knowledge related to Authorization management.	leightonlc
Knowledge of change management	Change management	Bin for types of Knowledge related to Change management.	leightonlc
Knowledge of cloud computing environment management	Cloud computing environment management	Bin for types of Knowledge related to Cloud computing environment management.	leightonlc
Knowledge of data management costs management	Data management costs management	Bin for types of Knowledge needed for Data management costs management.	leightonlc
Knowledge of funding acquisition management	Funding acquisition management	Bin for types of Knowledge related to Funding acquisition management.	leightonlc
Knowledge of high performance computing management	High performance computing management	Bin for types of Knowledge related to High performance computing management.	leightonlc
Knowledge of identity management	Identity management	Bin for types of Knowledge related to Identity management	leightonlc
Knowledge of preservation costs management	Preservation costs management	Bin for types of Knowledge related to Preservation costs management.					leightonlc	2019-10-17T15:17:32.816776Z
Knowledge of provenance information management	Provenance information management	Bin for types of Knowledge related to Provenance information management.					leightonlc	2019-10-17T15:17:02.313897Z
Knowledge of service level management	Service level management	Bin for types of Knowledge related to Service level management.					leightonlc	2019-10-17T15:18:53.73274Z
Knowledge of storage management	Storage management	Bin for types of Knowledge related to Storage management.	leightonlc
Knowledge of theories underlying FAIR implementation	FAIR training	Understand the concepts underpinning FAIR criteria.	Angus Whyte
Knowledge of workflow technologies management	Workflow technologies management	Bin for types of Knowledge related to Workflow technologies management.					leightonlc	2019-10-17T15:16:10.561925Z
Knowledge to choose FAIR data handling approaches appropriate to the research phenomena	FAIR training	Select data handling approaches likely to make data as FAIR as possible, considering what the data is about and its purpose in the research.	Angus Whyte
Knowledge to contextualise FAIR principles to domain	FAIR training	Know how data handling practices in the domain make FAIR criteria more or less easy to implement.	Angus Whyte
Knowledge to relate FAIR data assessment to research community norms	FAIR training	Know how the acceptability of research data FAIRness depends on the research community norms e.g. concepts of data and methods for deriving valid knowledge.	Angus Whyte
