ID	Label	Synonyms	Definition	Definition Source	Editor	Type	Parent Class	Subclass Context	Subclass Competency	Domain	Range	See Also	Comment
fso:FSO_0000117	Knowledge of domain specific data structure	??	Knows about domain specific data structure (e.g. NetCDF for climate simulation data,...) [KH, YLF]	??	Kristina Hettne, Yann Le Franc, Victoria Dominguez Del Angel		Prepare data for archiving/preservation #3	('has context' some Project); ('has context' only Project)					
fso:FSO_0000118	Knowledge of data archive and repository landscape	??	Knows about the existing repositories and archives (generic and domain specific, local (at the level of university/country) and global (international)) [KH, YLF]	??	Kristina Hettne, Yann Le Franc, Victoria Dominguez Del Angel		Prepare data for archiving/preservation #3	('has context' some Project); ('has context' only Project)					
fso:FSO_0000119	Prepare code for archiving/preservation #4	Code cleaning	Ability to clean up existing source code and version control systems, get Unique ID for the code, choose the appropriate code repository/registry, provenance tracking, data governance [YLF, VDA, KH]	??	Kristina Hettne, Yann Le Franc, Victoria Dominguez Del Angel		Preserve	('has context' some Project); ('has context' only Project)					
fso:FSO_0000120	Prepare code for archiving/preservation #5	Code cleaning	Ability to clean up existing source code and version control systems, get Unique ID for the code, choose the appropriate code repository/registry, provenance tracking, data governance [YLF, VDA, KH]	??	Kristina Hettne, Yann Le Franc, Victoria Dominguez Del Angel		Preserve	('has context' some Project); ('has context' only Project)	('has competency' some Skills); ('has competency' only Skills)				
fso:FSO_0000121	Prepare code for archiving/preservation #6	??	Know Software development good practices and tools i.e. code versioning and version control tools, software repositories and registries, package managers systems (Conda, Debian,...) and Unique and persistent ID systems. [YLF, VDA, KH]	??	Kristina Hettne, Yann Le Franc, Victoria Dominguez Del Angel		Preserve	('has context' some Project); ('has context' only Project)	('has competency' some Knowledge); ('has competency' only Knowledge)				
fso:FSO_0000122	Document code	??	Ability to clean up existing source code and version control systems, get Unique ID for the code, choose the appropriate code repository/registry [YLF, VDA, KH]	??	Kristina Hettne, Yann Le Franc, Victoria Dominguez Del Angel		Prepare code for archiving/preservation #6	('has context' some Project); ('has context' only Project)	('has competency' some Skills); ('has competency' only Skills)				
fso:FSO_0000123	Code documentation good practices and tools 	??	Knows about the different types of licences, metadata standards for software, code documentation tools, existing recommendations, community agreed format for dependencies, software archives/catalogs/repositories [YLF, VDA, KH]	??	Kristina Hettne, Yann Le Franc, Victoria Dominguez Del Angel		Prepare code for archiving/preservation #6	('has context' some Project); ('has context' only Project)	('has competency' some Knowledge); ('has competency' only Knowledge)				
fso:FSO_0000124	Document data for archiving/preservation	??	Ability to apply the FAIR principles i.e. describe the data with community metadata standard for machine and human, align with existing semantic models (ontologies, controlled vocabularies, ...), get a persistent ID, attribute licence and credit for data creators, legal aspect related to data (ownership, confidentiality, ethics, ...) add data provenance. [YLF, VDA, KH]	??	Kristina Hettne, Yann Le Franc, Victoria Dominguez Del Angel		Prepare code for archiving/preservation #6	('has context' some Project); ('has context' only Project)	('has competency' some Skills); ('has competency' only Skills)				
fso:FSO_0000125	Document data for archiving/preservation	??	Knows about: Global Unique and persistent ID, community specific metadata standards and descriptions, community specific semantic models (ontologies, thesauri, controlled vocabularies,...), provenance standards, Linked Data principles [YLF, VDA, KH]	??	Kristina Hettne, Yann Le Franc, Victoria Dominguez Del Angel		Prepare code for archiving/preservation #6	('has context' some Project); ('has context' only Project)	('has competency' some Knowledge); ('has competency' only Knowledge)				
fso:FSO_0000126	Data transfer	??	Knows about: data transfer protocols (FTP, HTTP, etc) [KH]	??	Kristina Hettne, Yann Le Franc, Victoria Dominguez Del Angel		Preserve		('has competency' some Knowledge); ('has competency' only Knowledge)				
fso:FSO_0000127	Data long term storage	??	Knows about: where to deposit data for the long term. Generic data repositories and data repositories relevant for the domain of research. [KH]	??	Kristina Hettne, Yann Le Franc, Victoria Dominguez Del Angel		Data transfer		('has competency' some Knowledge); ('has competency' only Knowledge)				
fso:FSO_0000128	Code long term storage	??	Knows about: where to deposit code for the long term. Knows how to link between Github and Zenodo. [KH]	??	Kristina Hettne, Yann Le Franc, Victoria Dominguez Del Angel		Data transfer		('has competency' some Knowledge); ('has competency' only Knowledge)				
fso:FSO_0000129	Format and media migration	??	??	??	Kristina Hettne, Yann Le Franc, Victoria Dominguez Del Angel		Preserve						
fso:FSO_0000130	Software review and preservation	??	VDA	??	Kristina Hettne, Yann Le Franc, Victoria Dominguez Del Angel		Preserve						
fso:FSO_0000131	??	??		??	Kristina Hettne, Yann Le Franc, Victoria Dominguez Del Angel		Software review and preservation		('has competency' some Knowledge); ('has competency' only Knowledge)				
fso:FSO_0000132	??	??		??	Kristina Hettne, Yann Le Franc, Victoria Dominguez Del Angel		Software review and preservation		('has competency' some Skills); ('has competency' only Skills)				
fso:FSO_0000133	Appraise	evaluate, analyse	to examine data, code, repository, services in order to judge their qualities (derived from https://dictionary.cambridge.org/fr/dictionnaire/anglais/appraise [YLF, VDA, KH]	??	Kristina Hettne, Yann Le Franc, Victoria Dominguez Del Angel		Appraise and preserve						
fso:FSO_0000134	Assess FAIRness #1	??	Activity/Process whereby digital objects are evaluated with the relevant FAIR metrics and assessment tools [YLF, VDA, KH]	??	Kristina Hettne, Yann Le Franc, Victoria Dominguez Del Angel		Appraise and preserve						
fso:FSO_0000135	Assess FAIRness #2	??	Ability to apply knowledge about FAIR metrics and assessing FAIRness using FAIR assessment tools. [YLF, VDA, KH]	??	Kristina Hettne, Yann Le Franc, Victoria Dominguez Del Angel		Appraise and preserve	('has context' some Project); ('has context' only Project)	('has competency' some Skills); ('has competency' only Skills)				
fso:FSO_0000136	FAIR Metrics selection skills	??	Ability to select the appropriate FAIR metrics among the existing ones in relation to the type of digital object concerned [YLF, VDA, KH]	??	Kristina Hettne, Yann Le Franc, Victoria Dominguez Del Angel		Assess FAIRness #2		('has competency' some Skills); ('has competency' only Skills)				
fso:FSO_0000137	Interpretation skill	??	??	??	Kristina Hettne, Yann Le Franc, Victoria Dominguez Del Angel		Assess FAIRness #2						
fso:FSO_0000138	Evaluation skill	??	??	??	Kristina Hettne, Yann Le Franc, Victoria Dominguez Del Angel		Assess FAIRness #2						
fso:FSO_0000139	Analytic skill	??	??	??	Kristina Hettne, Yann Le Franc, Victoria Dominguez Del Angel		Assess FAIRness #2						
fso:FSO_0000140	Assess FAIRNess #3	??	Knows about FAIR Principles and Metrics, existing evaluation tools, ... [YLF, VDA, KH]	??	Kristina Hettne, Yann Le Franc, Victoria Dominguez Del Angel		Appraise and preserve	('has context' some Project); ('has context' only Project)	('has competency' some Knowledge); ('has competency' only Knowledge)				
fso:FSO_0000141	Knowledge of FAIR principles	??	Knows about the FAIR principles i.e. 2016 paper and the 15 principles [YLF, KH, VDA]	??	Kristina Hettne, Yann Le Franc, Victoria Dominguez Del Angel		Assess FAIRNess #3		('has competency' some Knowledge); ('has competency' only Knowledge)				
fso:FSO_0000142	Knowledge of FAIR metrics	??	Knows about the various existing metrics to evaluate FAIRness compliance [YLF, VDA, KH]	??	Kristina Hettne, Yann Le Franc, Victoria Dominguez Del Angel		Assess FAIRNess #3		('has competency' some Knowledge); ('has competency' only Knowledge)				
fso:FSO_0000143	Knowledge of FAIR assessment tools	??	Knows about the various FAIR assessment tool	??	Kristina Hettne, Yann Le Franc, Victoria Dominguez Del Angel		Assess FAIRNess #3		('has competency' some Knowledge); ('has competency' only Knowledge)				
fso:FSO_0000144	Knowledge of assessment methodologies	??	??	??	Kristina Hettne, Yann Le Franc, Victoria Dominguez Del Angel		Assess FAIRNess #3		('has competency' some Knowledge); ('has competency' only Knowledge)				
fso:FSO_0000145	Knowledge of digital object structure	??	Knows what are the various elements composing the digital object (i.e. identifiers, metadata, etc.) and how they are structured together	??	Kristina Hettne, Yann Le Franc, Victoria Dominguez Del Angel		Assess FAIRNess #3		('has competency' some Knowledge); ('has competency' only Knowledge)				
fso:FSO_0000146	Check policy compliance	??	Knowledge of relevant policies at different levels, including institutional, national and international. [YLF, VDA, KH]	??	Kristina Hettne, Yann Le Franc, Victoria Dominguez Del Angel		Assess FAIRNess #3	('has context' some Project); ('has context' only Project)	('has competency' some Knowledge); ('has competency' only Knowledge)				
fso:FSO_0000147	Check policy compliance	??	??	??	Kristina Hettne, Yann Le Franc, Victoria Dominguez Del Angel		Assess FAIRNess #3		('has competency' some Skills); ('has competency' only Skills)				
fso:FSO_0000148	Assure data quality using open standards	??	Make sure that data are accurate, available, complete, conformant, consistent, credible, processable, relevant and timely.	??	Kristina Hettne, Yann Le Franc, Victoria Dominguez Del Angel		Assess FAIRNess #3	('has context' some Project); ('has context' only Project)	('has competency' some Skills); ('has competency' only Skills)				
fso:FSO_0000149	Publish and Release	??	??	??	Celia van Gelder, Mateusz Kuzak, Yan Wang		owl:Thing	('has context' some Project); ('has context' only Project)					
fso:FSO_0000150	publish output in a repository	??	Deposit research output (software, data and publication together with documentation) in  previousy selected repositories. 	??	Celia van Gelder, Mateusz Kuzak, Yan Wang		Publish and Release	('has context' some Project); ('has context' only Project)	('has competency' some Skills); ('has competency' only Skills)				
fso:FSO_0000151	Access control and management	??	??	??	??		Publish and Release						
fso:FSO_0000152	understand data ownership and access policies	??	Learn about data copyright laws, licennsing and other legal aspects of data access. Understand the application of those laws at the project level.	??	Celia van Gelder, Mateusz Kuzak, Yan Wang		Access control and management	('has context' some Project); ('has context' only Project)	('has competency' some Knowledge); ('has competency' only Knowledge)				
fso:FSO_0000153	apply data access policy	??	Define data access policy based on project requirements. Provide access to autorised parties. 	??	Celia van Gelder, Mateusz Kuzak, Yan Wang		Access control and management	('has context' some Project); ('has context' only Project)	('has competency' some Skills); ('has competency' only Skills)				
fso:FSO_0000154	manage access control	??	Monitor the authorised parties' access to data and keep it up to date.	??	Celia van Gelder, Mateusz Kuzak, Yan Wang		Access control and management	('has context' some Project); ('has context' only Project)	('has competency' some Skills); ('has competency' only Skills)				
fso:FSO_0000155	Ethical application of patents, licenses	??	??	??	??		Publish and Release						
fso:FSO_0000156	Understand legal background of licensing	??	Learn about  data licensing, the types of data licences and its legal implications. Understand the application procedure of data licences.	??	Celia van Gelder, Mateusz Kuzak, Yan Wang		Ethical application of patents, licenses	('has context' some Organization); ('has context' only Organization)	('has competency' some Knowledge); ('has competency' only Knowledge)				
fso:FSO_0000157	Understand legal background of patents	??	Learn about the types of patents and its legal implications. Understand the application procedure of patents.	??	Celia van Gelder, Mateusz Kuzak, Yan Wang		Ethical application of patents, licenses	('has context' some Organization); ('has context' only Organization)	('has competency' some Knowledge); ('has competency' only Knowledge)				
fso:FSO_0000158	Select and apply license	??	Choose the proper license considering types of project data and clearly indicate (apply) the license chosen in the project work.	??	Celia van Gelder, Mateusz Kuzak, Yan Wang		Ethical application of patents, licenses	('has context' some Project); ('has context' only Project)	('has competency' some Skills); ('has competency' only Skills)				
fso:FSO_0000159	Patent application	??	Choose the proper type of patent for the project data and apply for the patent chosen.	??	Celia van Gelder, Mateusz Kuzak, Yan Wang		Ethical application of patents, licenses	('has context' some Project); ('has context' only Project)	('has competency' some Skills); ('has competency' only Skills)				
fso:FSO_0000160	Open access publishing and self-archiving	??	??	??	Celia van Gelder, Mateusz Kuzak, Yan Wang		Publish and Release						
fso:FSO_0000161	Understand open access publishing	??	Know about the open access publishing procedure, journals' policies on OA publishing, project funder and institutions policy as well as the financial support on OA publishing	??	Celia van Gelder, Mateusz Kuzak, Yan Wang		Open access publishing and self-archiving	('has context' some Project); ('has context' only Project)	('has competency' some Knowledge); ('has competency' only Knowledge)				
fso:FSO_0000162	Understand sel-archiving	??	Know about the benefits and procedure of self-archiving. Know the data repositories and preferred data types that are suitable for the project data. Learn how to document the data and the metadata. 	??	Celia van Gelder, Mateusz Kuzak, Yan Wang		Open access publishing and self-archiving	('has context' some Project); ('has context' only Project)	('has competency' some Knowledge); ('has competency' only Knowledge)				
fso:FSO_0000163	Publish open access	??	Choose the open access publishing venue and publish the project results (data, article or other forms) by following the requirements. 	??	Celia van Gelder, Mateusz Kuzak, Yan Wang		Open access publishing and self-archiving	('has context' some Project); ('has context' only Project)	('has competency' some Skills); ('has competency' only Skills)				
fso:FSO_0000164	Self-archive 	??	Prepare the data in preferred types and the data documentation. Choose the data repository and data license, deposit the data in the repository. 	??	Celia van Gelder, Mateusz Kuzak, Yan Wang		Open access publishing and self-archiving	('has context' some Project); ('has context' only Project)	('has competency' some Skills); ('has competency' only Skills)				
fso:FSO_0000165	Document in lay terms	??	Know the purpose of the public use, choose the proper subjects for the audience and describe the project work for the purpose/audience chosen. 	??	Celia van Gelder, Mateusz Kuzak, Yan Wang		Publish and Release	('has context' some Project); ('has context' only Project)	('has competency' some Skills); ('has competency' only Skills)				
fso:FSO_0000166	Engaging in open innovation beyond academia	??	??	??	??		Publish and Release						
fso:FSO_0000167	Investigate open innovation opportunities	??	Explore the potential application domain/sociental implication of the project work and the communities of users/partners. 	??	Celia van Gelder, Mateusz Kuzak, Yan Wang		Engaging in open innovation beyond academia	('has context' some Project); ('has context' only Project)	('has competency' some Skills); ('has competency' only Skills)				
fso:FSO_0000168	Engage innovation partners	??	Learn about innovation partners' interests and concerns, analyze them and position the project work/outcome properly. Reach out to innovation partners with proactive and pragmatic innovation plan which is in compliance with FAIR principles. 	??	Celia van Gelder, Mateusz Kuzak, Yan Wang		Engaging in open innovation beyond academia	('has context' some Project); ('has context' only Project)	('has competency' some Skills); ('has competency' only Skills)				
fso:FSO_0000169	Expose and Discover	??	??	??	Peter McQuilton, Hugh Shanahan, Frans Huigen, Nancy Hoebelheinrich		owl:Thing	('has context' some Project); ('has context' only Project)					
fso:FSO_0000170	Expose your data	??	??	??	Peter McQuilton		Expose and Discover	('has context' some Project); ('has context' only Project)					
fso:FSO_0000171	Recognise and acknowledge contributions	attribution; credit;	To clearly communicate the existence of contributions from different individuals / projects to the compilation of a given dataset, in such a way that can be consistently cited. [LM]	??	Laura Molloy		Expose your data	('has context' some Project); ('has context' only Project)	('has competency' some Skills); ('has competency' only Skills)				
fso:FSO_0000172	Cite contributions 	??	Cite contributions to data work in published literature which draws upon that data. [LM]	??	Laura Molloy		Expose your data	('has context' some Project); ('has context' only Project)	('has competency' some Skills); ('has competency' only Skills)				
fso:FSO_0000173	Metadata creation and exposure	??	[NH]	??	Nancy Hoebelheinrich		Expose your data	('has context' some Project); ('has context' only Project)					
fso:FSO_0000174	Use of persistent, resolvable identifiers (PIDs)	??	[NH]	??	Nancy Hoebelheinrich		Expose your data	('has context' some Project); ('has context' only Project)					
fso:FSO_0000175	Visualisation of results	??	To understand the necessary techniques and principles that enable effective visualisation of data. [HS]	??	Hugh Shanahan		Expose your data	('has context' some Project); ('has context' only Project)	('has competency' some Knowledge); ('has competency' only Knowledge)				
fso:FSO_0000176	Understanding of visual elements	??	To understand that there are basic elements of presentational style and what makes for a good and bad visualisation. [HS]	??	Hugh Shanahan		Visualisation of results	('has context' some Project); ('has context' only Project)	('has competency' some Knowledge); ('has competency' only Knowledge)				
fso:FSO_0000177	Visual Storytelling	??	To understand that in presenting data to an external audience one is explaining a narrative and that the choice of visualisation, for example how to prioritise attributes for choice of visual elements is there to aid that narrative. [HS]	??	Hugh Shanahan		Understanding of visual elements	('has context' some Project); ('has context' only Project)	('has competency' some Knowledge); ('has competency' only Knowledge)				
fso:FSO_0000178	Critically evaluate visualisation choices	??	To understand that one has to avoid, consciously or unconsciously, presenting data in a way to give a narrative that is not supported by the data. [HS]	??	Hugh Shanahan		Understanding of visual elements	('has context' some Project); ('has context' only Project)	('has competency' some Knowledge); ('has competency' only Knowledge)				
fso:FSO_0000179	Using good practice in hypothesis generation from visualisation	??	Applying techniques such as appropriate scaling of axes to suggest relationships between variables. [HS]	??	Hugh Shanahan		Understanding of visual elements	('has context' some Project); ('has context' only Project)	('has competency' some Skills); ('has competency' only Skills)				
fso:FSO_0000180	Display data	??	To be able to use an appropriate visualisation tool, such as simple web-based interfaces with fixed number of types of visualisation to command line interfaces with which use a "grammar of graphics' approach" to tools that work at a much more basic level and give maximum freedom. [HS]	??	Hugh Shanahan		Understanding of visual elements	('has context' some Project); ('has context' only Project)	('has competency' some Skills); ('has competency' only Skills)				
fso:FSO_0000181	Evaluation of how to publish your data	??	To be able to define and deploy appropriate criteria, based on the FAIR principles, to identify the appropriate publishing platform for a dataset. This may, for example, involve discovering the mark-up of the platform, the exchange formats and data models used, and the licensing information for each repository. Tools such as the FAIR evaluator or FAIRshake may be used to assess the FAIRnessbased on human-entered questionnaires or FAIRsharing resource metadata. [PMQ]	??	Peter McQuilton		Expose your data	('has context' some Project); ('has context' only Project)	('has competency' some Knowledge); ('has competency' only Knowledge)				
fso:FSO_0000182	Evaluation of repositories for data deposition	Repository FAIRness; FAIR data submission	To be able to define and deploy appropriate criteria, based on the FAIR principles, to identify the appropriate repository for a dataset. This may, for example, involve discovering the mark-up of the repository, the exchange formats and data models used, and the licensing information for each repository. Tools such as the FAIR evaluator or FAIRshake may be used to assess the FAIRness of a repository based on human-entered questionnaires or FAIRsharing resource metadata. [PMQ]	??	Peter McQuilton		Expose your data	('has context' some Project); ('has context' only Project)	('has competency' some Knowledge); ('has competency' only Knowledge)				
fso:FSO_0000183	Choosing the appropriate model or format for your data	Which format to use; Which data model to use	To be able to choose the correct data model and/or exchange format for your data, based on the repository where you plan to deposit your data. [PMQ]	??	Peter McQuilton		Evaluation of repositories for data deposition	('has context' some Project); ('has context' only Project)					
fso:FSO_0000184	Choosing the appropriate reporting guideline for your data	??	To be able to choose the appropriate reporting guideline/checklist for your data, based on community-adopted standards. [PMQ]	??	Peter McQuilton		Evaluation of repositories for data deposition	('has context' some Project); ('has context' only Project)					
fso:FSO_0000185	Choosing the appropriate taxonomy for your data	Taxonomy identification; Thesaurus identification; Controlled Vocabulary identification; Ontology identification	To be able to research and identify the appropriate taxonomy for your project. This may involve using resources such as FAIRsharing, which captures metadata on taxonomies and provides an assessment of their FAIRness.[PMQ]	??	Peter McQuilton		Evaluation of repositories for data deposition	('has context' some Project); ('has context' only Project)	('has competency' some Skills); ('has competency' only Skills)				
fso:FSO_0000186	Discover other peoples data	Data discovery; Data search	The ability to find and comprehend data produced by people other than yourself. [PMQ]	??	Peter McQuilton		Expose and Discover	('has context' some Project); ('has context' only Project)	('has competency' some Skills); ('has competency' only Skills)				
fso:FSO_0000187	Searching repositories and knowledge-bases	Repository search; database search; searching repositories; searching databases	The ability to search repositories and knowledge-bases. [PMQ]	??	Peter McQuilton		Discover other peoples data	('has context' some Project); ('has context' only Project)	('has competency' some Skills); ('has competency' only Skills)				
fso:FSO_0000188	Good UI search practice	Searching via the UI; Search GUI; 	To know good UI search practice. The use of booleans, the use of quotation marks and other tips and tricks. [PMQ]	??	Peter McQuilton		Searching repositories and knowledge-bases	('has context' some Project); ('has context' only Project)	('has competency' some Skills); ('has competency' only Skills)				
fso:FSO_0000189	Use of aggregator sites	Searching aggregator sites	To be able to search and understand the results from dataset aggregrator sites. To understand the implications of the provenance of the data and how to integrate and analyse data with differing metadata. [PMQ]	??	Peter McQuilton		Searching repositories and knowledge-bases	('has context' some Project); ('has context' only Project)	('has competency' some Skills); ('has competency' only Skills)				
fso:FSO_0000190	Searching via algorithms and software	Algorithm searching; Programmatic search'; batch search; 	To be able to search using software with a GUI or terminal access. For example using BLAST or genomic search tools in the life sciences. [PMQ]	??	Peter McQuilton		Searching repositories and knowledge-bases	('has context' some Project); ('has context' only Project)	('has competency' some Skills); ('has competency' only Skills)				
fso:FSO_0000191	Machine access via API	API access; Machine actionable search	To be able to use programmatic methods to access a resource's API to query and extract an appropriate subset of data. [PMQ]	??	Peter McQuilton		Searching repositories and knowledge-bases	('has context' some Project); ('has context' only Project)	('has competency' some Skills); ('has competency' only Skills)				
fso:FSO_0000192	Metadata searching via metadata providers	Metadata search; Metadata processing	To be able to identify and process metadata over the internet, sourced from a variety of metadata providers and schemata. [PMQ]	??	Peter McQuilton		Discover other peoples data	('has context' some Project); ('has context' only Project)	('has competency' some Skills); ('has competency' only Skills)				
fso:FSO_0000193	Govern and Assess	??	??	??	Yan Wang, Mateusz Kuzak, Angus Whyte, Celia van Gelder		owl:Thing	('has context' some Organization); ('has context' only Organization)					
fso:FSO_0000194	Develop open research strategy and vision	??	??	??	Yan Wang, Mateusz Kuzak, Angus Whyte, Celia van Gelder		Govern and Assess						
fso:FSO_0000195	Develop FAIR and open research vision	??	Include FAIR and open research in the strategic framework for the organization and set objectives and timeframe.	??	Yan Wang, Mateusz Kuzak, Angus Whyte, Celia van Gelder		Develop open research strategy and vision	('has context' some Organization); ('has context' only Organization)	('has competency' some Skills); ('has competency' only Skills)				
fso:FSO_0000196	Appreciation of FAIR and open research 	??	Recognize the added value of FAIR and open research, encourage researchers to practise FAIR and open research. 	??	Yan Wang, Mateusz Kuzak, Angus Whyte, Celia van Gelder		Develop open research strategy and vision	('has context' some Organization); ('has context' only Organization)	('has competency' some Attitudes); ('has competency' only Attitudes)				
fso:FSO_0000197	Develop FAIR and open research strategy	??	Find the people with a good understand of FAIR and open research challenges in your organiation, and create a work agenda.  	??	Yan Wang, Mateusz Kuzak, Angus Whyte, Celia van Gelder		Develop open research strategy and vision	('has context' some Organization); ('has context' only Organization)	('has competency' some Skills); ('has competency' only Skills)				
fso:FSO_0000198	Understanding FAIR and open research challenges in your organization	??	Understand the FAIR and open research practices, and the research landscape / current data management practices in the organization.  	??	Yan Wang, Mateusz Kuzak, Angus Whyte, Celia van Gelder		Develop open research strategy and vision	('has context' some Organization); ('has context' only Organization)	('has competency' some Knowledge); ('has competency' only Knowledge)				
fso:FSO_0000199	Apply policies to comply with legal requirements, ethical & FAIR principles	??	??	??	Yan Wang, Mateusz Kuzak, Angus Whyte, Celia van Gelder		Govern and Assess						
fso:FSO_0000200	Design policies to comply with legal and ethical requirements	??	Design organizational policy with consideration of legal and ethical regulations, ensure the consistency between organizational policy and these regulations	??	Yan Wang, Mateusz Kuzak, Angus Whyte, Celia van Gelder		Apply policies to comply with legal requirements, ethical & FAIR principles	('has context' some Organization); ('has context' only Organization)					
fso:FSO_0000201	Understanding legal and ethical requirements	??	Know legal regulations on IPR and copyright, know research ethics and its implications on conducting research activities	??	Yan Wang, Mateusz Kuzak, Angus Whyte, Celia van Gelder		Apply policies to comply with legal requirements, ethical & FAIR principles	('has context' some Organization); ('has context' only Organization)	('has competency' some Knowledge); ('has competency' only Knowledge)				
fso:FSO_0000202	Design policies and processes to fit context	??	Develope organizational policies and operational processes, in line with legal and ethical regulations	??	Yan Wang, Mateusz Kuzak, Angus Whyte, Celia van Gelder		Apply policies to comply with legal requirements, ethical & FAIR principles	('has context' some Organization); ('has context' only Organization)	('has competency' some Skills); ('has competency' only Skills)				
fso:FSO_0000203	Implement data governance	??	Design data governance framework based on organizational policy and processes, and put it into effect  	??	Yan Wang, Mateusz Kuzak, Angus Whyte, Celia van Gelder		Apply policies to comply with legal requirements, ethical & FAIR principles	('has context' some Organization); ('has context' only Organization)	('has competency' some Skills); ('has competency' only Skills)				
fso:FSO_0000204	Implement process for IPR and copyright clearance 	??	Put process of IPR and copyright clearance into effect, coordinate it with other relevant running workflows	??	Yan Wang, Mateusz Kuzak, Angus Whyte, Celia van Gelder		Apply policies to comply with legal requirements, ethical & FAIR principles	('has context' some Organization); ('has context' only Organization)	('has competency' some Skills); ('has competency' only Skills)				
fso:FSO_0000205	Research integrity, attribution, impact awareness	??		??	Yan Wang, Mateusz Kuzak, Angus Whyte, Celia van Gelder		Govern and Assess						
fso:FSO_0000206	Understand research code of conduct	??	Understand how the governing principles of research integrity and FAIR overlap	??	Angus Whyte, Celia van Gelder		Research integrity, attribution, impact awareness	('has context' some Organization); ('has context' only Organization)	('has competency' some Knowledge); ('has competency' only Knowledge)				
fso:FSO_0000207	Appreciate importance of research integrity	??	Take proactive approach to ensure outputs are made FAIR consistently with research integrity principles	??	Angus Whyte, Celia van Gelder, Yan Wang, Mateusz Kuzak,		Research integrity, attribution, impact awareness	('has context' some Organization); ('has context' only Organization)	('has competency' some Attitudes); ('has competency' only Attitudes)				
fso:FSO_0000208	Design processes for research integrity	??	Initiate and develop processes to ensure outputs are made FAIR consistently with research integrity principles, and with ethical oversight.	??	Angus Whyte, Celia van Gelder, Yan Wang, Mateusz Kuzak,		Research integrity, attribution, impact awareness	('has context' some Organization); ('has context' only Organization)	('has competency' some Skills); ('has competency' only Skills)				
fso:FSO_0000209	Understand societal impact of research	??	Anticipate possible implications of the research and making its outputs FAIR, reflecting on rmotivations and areas of uncertainty	??	Angus Whyte, Celia van Gelder, Yan Wang, Mateusz Kuzak,		Research integrity, attribution, impact awareness	('has context' some Organization); ('has context' only Organization)	('has competency' some Knowledge); ('has competency' only Knowledge)				
fso:FSO_0000210	Stakeholder engagement on societal impact	??	Identify and engage in dialogue with stakeholders affected by the research, or by making its outputs FAIR	??	Angus Whyte, Celia van Gelder, Yan Wang, Mateusz Kuzak,		Research integrity, attribution, impact awareness	('has context' some Organization); ('has context' only Organization)	('has competency' some Skills); ('has competency' only Skills)				
fso:FSO_0000211	Appreciate importance of crediting research contributions	??	Understand how the rewards for effort depend on crediting the contributions of researchers and professional groups towards making FAIR outputs	??	Angus Whyte, Celia van Gelder, Yan Wang, Mateusz Kuzak,		Research integrity, attribution, impact awareness	('has context' some Organization); ('has context' only Organization)	('has competency' some Attitudes); ('has competency' only Attitudes)				
fso:FSO_0000212	Design and apply processes for attribution	??	Iniitate and develop processes for crediting the contributions of researchers and professional groups towards making FAIR outputs	??	Angus Whyte, Celia van Gelder, Yan Wang, Mateusz Kuzak,		Research integrity, attribution, impact awareness	('has context' some Organization); ('has context' only Organization)	('has competency' some Skills); ('has competency' only Skills)				
fso:FSO_0000213	Information security and risk management	??	??	??	??		Govern and Assess						
fso:FSO_0000214	Information security and access management	??	??	??	Yan Wang, Mateusz Kuzak, Angus Whyte, Celia van Gelder		Information security and access management	('has context' some Organization); ('has context' only Organization)					
fso:FSO_0000215	Access risk assessment and mitigation	??	Obtain an overview of information access status for different stakeholder groups. Check this overview against the organizational information access policy and risk catalogue, identify the type of information security risks based on the mismatch between the current status and policy. Choose and implement the right protocal to mitigate the risk. 	??	Yan Wang, Mateusz Kuzak, Angus Whyte, Celia van Gelder		Information security and access management	('has context' some Organization); ('has context' only Organization)	('has competency' some Skills); ('has competency' only Skills)				
fso:FSO_0000216	Define access policy	??	Understand the needs and conditions of information access for different stakeholder groups. Identify the responsibility and rights for each stakeholder group on informaiton access. Build up a catalogue of risk profiles. For each risk profile, develope mitigation protocols. 	??	Yan Wang, Mateusz Kuzak, Angus Whyte, Celia van Gelder		Information security and access management	('has context' some Organization); ('has context' only Organization)	('has competency' some Skills); ('has competency' only Skills)				
fso:FSO_0000217	Manage access	??	Monitor the status of information access of different stakeholder groups. Evaluate new access request and authorize or decline it. Update the organizational information access overview. 	??	Yan Wang, Mateusz Kuzak, Angus Whyte, Celia van Gelder		Information security and access management	('has context' some Organization); ('has context' only Organization)	('has competency' some Skills); ('has competency' only Skills)				
fso:FSO_0000218	Understand information security challenges	??	Know the security requirements on the organization regarding different types of information Know the current organizational policy, infrastructure and capacity on information security. 	??	Yan Wang, Mateusz Kuzak, Angus Whyte, Celia van Gelder		Information security and access management	('has context' some Organization); ('has context' only Organization)	('has competency' some Knowledge); ('has competency' only Knowledge)				
fso:FSO_0000219	Appreciate seurity and usability trade-offs	??	Be aware of the potential conflicts between security and usability. Understand the importance of having information security policy and keeping a balance between the information security and usability. Willing to establish both organization and technical information security measurements.	??	Yan Wang, Mateusz Kuzak, Angus Whyte, Celia van Gelder		Information security and access management	('has context' some Organization); ('has context' only Organization)	('has competency' some Attitudes); ('has competency' only Attitudes)				
fso:FSO_0000220	Data governance, handling third-party data	??	??	??	Yan Wang, Mateusz Kuzak, Angus Whyte, Celia van Gelder		Govern and Assess						
fso:FSO_0000221	Storage security management	??	??	??	??		Govern and Assess						
